depcom,cp,ncc,nccenr,longitude,latitude
28294,28700,OYSONVILLE,Oysonville,1.95304886564106,48.39287185293108
28296,28140,PERONVILLE,Péronville,1.582319041099239,48.06234746163135
28298,28130,PIERRES,Pierres,1.5666737523076097,48.590373271675574
28299,28210,LES PINTHIERES,Les Pinthières,1.5677158570878893,48.70104070503744
28300,28310,POINVILLE,Poinville,1.9021386894598096,48.1782533092959
28301,28300,POISVILLIERS,Poisvilliers,1.4687181450214288,48.5081779125083
28302,28190,PONTGOUIN,Pontgouin,1.1609782302075293,48.47951737065756
28303,28140,POUPRY,Poupry,1.8379449093207192,48.09934525715269
28304,28150,PRASVILLE,Prasville,1.7100484214447587,48.27529911527468
28305,28800,PRE-SAINT-EVROULT,Pré-Saint-Évroult,1.467348887706749,48.1842086402928
28306,28800,PRE-SAINT-MARTIN,Pré-Saint-Martin,1.4770471828835492,48.22123237961223
28308,28270,PRUDEMANCHE,Prudemanche,1.1363474018453483,48.71577317672523
28309,28360,PRUNAY-LE-GILLON,Prunay-le-Gillon,1.6349453188246397,48.36444110697342
28310,28250,LA PUISAYE,La Puisaye,0.955637976803922,48.608439371204625
28311,28310,LE PUISET,Le Puiset,1.865179274296649,48.207600157131665
28312,28170,PUISEUX,Puiseux,1.3740163505908785,48.63648088772649
28313,28150,RECLAINVILLE,Réclainville,1.7462855503706087,48.338677306494276
28314,28340,LES RESSUINTES,Les Ressuintes,0.9371859677975858,48.59462368320716
28315,28270,REVERCOURT,Revercourt,1.08312278732742,48.72122775360071
28316,28340,ROHAIRE,Rohaire,0.8486453316246229,48.669541593852706
28317,28700,ROINVILLE,Roinville,1.7478083682408492,48.444867415310114
28319,28310,ROUVRAY-SAINT-DENIS,Rouvray-Saint-Denis,1.94455405016979,48.27762408887456
28321,28260,ROUVRES,Rouvres,1.4835150302761293,48.83943103775895
28322,28270,RUEIL-LA-GADELIERE,Rueil-la-Gadelière,0.9759781284659094,48.71405989905111
28323,28170,SAINT-ANGE-ET-TORCAY,Saint-Ange-et-Torçay,1.2246756664624288,48.637047897887875
28324,28190,SAINT-ARNOULT-DES-BOIS,Saint-Arnoult-des-Bois,1.2620784239383886,48.491837884911725
28325,28300,SAINT-AUBIN-DES-BOIS,Saint-Aubin-des-Bois,1.3616705746928186,48.46715911441908
28326,28120,SAINT-AVIT-LES-GUESPIERES,Saint-Avit-les-Guespières,1.27072232075038,48.270591349558266
28327,28330,SAINT-BOMER,Saint-Bomer,0.8248796414562327,48.19572200054378
28329,28200,SAINT-CHRISTOPHE,Saint-Christophe,1.3655200535593188,48.12614200080929
28330,28200,VILLEMAURY,Villemaury,1.4688587076270396,48.039325913423575
28331,28480,SAINT-DENIS-D'AUTHOU,Saint-Denis-d'Authou,0.9861473495698099,48.34438881056568
28332,28500,SAINTE-GEMME-MORONVAL,Sainte-Gemme-Moronval,1.4143843928417688,48.737784197643265
28333,28240,SAINT-DENIS-DES-PUITS,Saint-Denis-des-Puits,1.1762152890088597,48.39156447600349
28334,28200,SAINT-DENIS-LES-PONTS,Saint-Denis-les-Ponts,1.2921602923264794,48.06659814284595
28335,28240,SAINT-ELIPH,Saint-Éliph,1.0254071575466903,48.44944344447941
28336,28120,SAINT-EMAN,Saint-Éman,1.217757373250049,48.322002635631904
28337,28190,SAINT-GEORGES-SUR-EURE,Saint-Georges-sur-Eure,1.3578360005703187,48.41671583689858
28339,28190,SAINT-GERMAIN-LE-GAILLARD,Saint-Germain-le-Gaillard,1.2576422205615485,48.42158528611764
28341,28170,SAINT-JEAN-DE-REBERVILLIERS,Saint-Jean-de-Rebervilliers,1.2499709063136486,48.61133025883952
28342,28400,SAINT-JEAN-PIERRE-FIXTE,Saint-Jean-Pierre-Fixte,0.835731643032596,48.29223229818074
28343,28210,SAINT-LAURENT-LA-GATINE,Saint-Laurent-la-Gâtine,1.5244694498828197,48.69241711644036
28344,28700,SAINT-LEGER-DES-AUBEES,Saint-Léger-des-Aubées,1.7391430207280998,48.41148468713906
28346,28270,SAINT-LUBIN-DE-CRAVANT,Saint-Lubin-de-Cravant,1.08759468723858,48.71050314629771
28347,28410,SAINT-LUBIN-DE-LA-HAYE,Saint-Lubin-de-la-Haye,1.5712883087336291,48.818923920466496
28348,28350,SAINT-LUBIN-DES-JONCHERETS,Saint-Lubin-des-Joncherets,1.1917075007089681,48.76610573892141
28349,28210,SAINT-LUCIEN,Saint-Lucien,1.623481961479159,48.647721284361644
28350,28190,SAINT-LUPERCE,Saint-Luperce,1.3153154208739781,48.43591613786063
28351,28170,SAINT-MAIXME-HAUTERIVE,Saint-Maixme-Hauterive,1.181588606647748,48.587811487089354
28352,28130,SAINT-MARTIN-DE-NIGELLES,Saint-Martin-de-Nigelles,1.60815221998619,48.6115577001202
28353,28800,SAINT-MAUR-SUR-LE-LOIR,Saint-Maur-sur-le-Loir,1.4185175187272299,48.152064896317036
28354,28240,SAINT-MAURICE-SAINT-GERMAIN,Saint-Maurice-Saint-Germain,1.0764191113114288,48.49707488474172
28355,28260,SAINT-OUEN-MARCHEFROY,Saint-Ouen-Marchefroy,1.5320730768303787,48.85712700793501
28357,28130,SAINT-PIAT,Saint-Piat,1.5841096220996094,48.547397012268235
28358,28300,SAINT-PREST,Saint-Prest,1.5301089072445093,48.491858009688414
28359,28380,SAINT-REMY-SUR-AVRE,Saint-Rémy-sur-Avre,1.2408863203983798,48.76054292716872
28360,28170,SAINT-SAUVEUR-MARVILLE,Saint-Sauveur-Marville,1.2790123385432393,48.594658700526544
28362,28240,SAINT-VICTOR-DE-BUTHON,Saint-Victor-de-Buthon,0.9674910189146526,48.407968328736374
28363,28700,SAINVILLE,Sainville,1.8796303232207692,48.41469451325416
28364,28800,SANCHEVILLE,Sancheville,1.5761733004667697,48.19097086004928
28365,28120,SANDARVILLE,Sandarville,1.350551354128909,48.347324790971875
28366,28700,SANTEUIL,Santeuil,1.7329726189396588,48.3871249406941
28367,28310,SANTILLY,Santilly,1.8718901468691487,48.145571476563944
